settlement_date,settlement_period,fuel_type,generation_mw,start_time,publish_time,gas_day,ingested_at,updated_at
2026-07-06,41,BIOMASS,2024,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,CCGT,7463,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,COAL,0,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTELEC,740,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTEW,-532,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTFR,1370,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTGRNL,0,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTIFA2,716,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTIRL,-454,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTNED,484,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTNEM,-866,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTNSL,1398,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,INTVKL,1426,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,NPSHYD,469,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,NUCLEAR,3003,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,OCGT,0,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,OIL,0,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,OTHER,1448,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,PS,398,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,41,WIND,9698,2026-07-06T19:00:00Z,2026-07-06T19:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,BIOMASS,2026,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,CCGT,7463,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,COAL,0,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTELEC,666,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTEW,-532,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTFR,1150,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTGRNL,0,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTIFA2,782,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTIRL,-454,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTNED,830,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTNEM,-718,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTNSL,1398,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,INTVKL,1424,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,NPSHYD,454,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,NUCLEAR,3000,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,OCGT,3,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,OIL,0,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,OTHER,1771,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,PS,370,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,40,WIND,9401,2026-07-06T18:30:00Z,2026-07-06T19:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,BIOMASS,2025,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,CCGT,7249,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,COAL,0,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTELEC,668,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTEW,-532,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTFR,1156,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTGRNL,0,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTIFA2,792,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTIRL,-454,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTNED,838,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTNEM,-714,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,39,INTNSL,1398,2026-07-06T18:00:00Z,2026-07-06T18:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
